texts,Sentiment
Saya tidak mau! Pokoknya hari ini kamu harus pulang!!!,Negatif
Kenapa kamu masih mencari yang lain????,Negatif
"Ada 3 buku yang belum aku baca, 2 diantaranya masih dibungkus",Netral
Hebat! Kamu memang pantas jadi juara!!,Positif
Selamat berakhir pekan teman-teman semua :))),Positif
Halo! Perkenalkan aku Budi. Umurku 20 tahun. Salam kenal!,Positif
Masakan mama enak sekali!,Positif
"Sepertinya aku belum coba ini, kamu gimana? @kawanku ",Netral
Lelah banget pulang sekolah. Mau tidur aja rasanya #capek #lelah #letih,Netral
Tempat ini kotor sekali! Aku tidak mau kesini lagi! http://www.tempatkotor.com,Negatif
